Partlist exported from /home/denis/BACKUP/EEZ/PCB/Programmable PSU/DIB/EEZ DIB AFE3 r1B1.sch at 29.3.2021. 17:30

Assembly variant: ''

Qty Value                Device               Parts                                                                                      
1                        PCB_TEST_TABSHIELD   GND                                                                                        
1   0R33                 R-EU_R1210           R32                                                                                        
1   0R200                R-EU_R1210           R8                                                                                         
9   1K                   R-EU_R0805           R34, R43, R44, R45, R46, R47, R48, R49, R50                                                
3   1M5 0.1%             R-EU_R1206           R1, R3, R5                                                                                 
2   1n                   C-EUC0603            C2, C10                                                                                    
4   1n                   C-EUC1206            C5, C8, C13, C16                                                                           
2   1u                   C-EUC0603            C1, C9                                                                                     
8   1u                   C-EUC0805            C23, C25, C27, C48, C49, C54, C59, C60                                                     
2   1u                   C-EUC1206            C6, C14                                                                                    
2   4M7 0.1%             R-EU_R1206           R20, R21                                                                                   
1   8n2                  C-EUC0603            C17                                                                                        
5   10K                  R-EU_R0805           R27, R28, R33, R51, R52                                                                    
1   10K5 0.1%            R-EU_R1206           R6                                                                                         
2   10R                  R-EU_R0805           R10, R12                                                                                   
2   10R                  R-EU_R1206           R53, R54                                                                                   
3   10u                  C-EUC1206            C20, C34, C64                                                                              
1   15R                  R-EU_R0805           R13                                                                                        
4   15n                  C-EUC0603            C42, C43, C44, C45                                                                         
1   22u                  C-EUC1206            C33                                                                                        
1   33R                  R-EU_R1206           R30                                                                                        
2   49K9                 R-EU_R1206           R17, R18                                                                                   
1   50R 0.1%             R-EU_R1206           R15                                                                                        
1   82K5 0.1%            R-EU_R1206           R7                                                                                         
3   100K                 R-EU_R1206           R19, R31, R36                                                                              
3   100K 0.1%            R-EU_R1206           R22, R25, R39                                                                              
19  100n                 C-EUC0603            C3, C4, C11, C12, C18, C19, C21, C22, C26, C28, C46, C47, C55, C56, C57, C58, C61, C62, C63
2   100n                 C-EUC1206            C7, C15                                                                                    
4   200K 0.1%            R-EU_R1206           R23, R24, R37, R38                                                                         
2   330R                 R-EU_R0805           R26, R29                                                                                   
3   470R                 R-EU_R0805           R2, R14, R16                                                                               
8   470p                 C-EUC0603            C29, C30, C31, C32, C50, C51, C52, C53                                                     
1   691322310008         691322310008         X1                                                                                         
1   ADS131E04IPAGR       ADS131E0XIPAG        IC11                                                                                       
1   AMC3301DWER          AMC3301DWER          IC3                                                                                        
1   AMC3330QDWERQ1       AMC3301DWER          IC1                                                                                        
2   BAV199,235           BAV199               D1, D10                                                                                    
2   BLM18AG102SH1D       FERRITE_BEAD0603     L4, L5                                                                                     
2   BSS214NH6327XTSA1    2N7002               Q3, Q4                                                                                     
2   CPC3902ZTR           BSP129SOT-223        Q1, Q2                                                                                     
2   DG212BDY-T1-E3       DG212BDY-T1-E3       IC5, IC7                                                                                   
1   DLW21SN371SQ2L       DLW21S               L2                                                                                         
2   DS1023-2*14S21       TSW-114-07-F-D       X2, X3                                                                                     
2   DS1025-01-1*2P8BV1-B JUMPER-2PIN-2MM      JP5, JP6                                                                                   
1   EE2-5TNU-L           G6SK-2F              ISEL1A_1                                                                                   
3   FIDUCIAL_2           FIDUCIAL_2           FM1, FM2, FM3                                                                              
2   GMR100HTBFA10L0      R-EU_4WIRE2512       R11, R35                                                                                   
1   JP2-CUT-0805         JP2-CUT-0805         JP9                                                                                        
4   JP2-NOCUT-0805       JP2-NOCUT-0805       JP1, JP2, JP3, JP4                                                                         
2   JP3-CUT-0805-ROTATED JP3-CUT-0805-ROTATED JP7, JP8                                                                                   
1   MCP6001RT-I/OT       OPA376AIDBVR         IC6                                                                                        
1   MCP6004T-I/ST        OPA4197PW            IC4                                                                                        
2   MLZ1608N100LT000     FERRITE_BEAD0603     L1, L3                                                                                     
1   MMSZ5230BT1G         ZENER-DIODESOD123    ZD1                                                                                        
2   N.C.                 C-EUC0603            C35, C41                                                                                   
1   N.C.                 C-EUC0805            C24                                                                                        
4   N.C.                 C-EUC1206            C36, C37, C38, C39                                                                         
1   N.C.                 ECAP1206             C40                                                                                        
1   N.C.                 LTC6655BHMS8         IC8                                                                                        
1   N.C.                 OPA376AIDBVR         IC9                                                                                        
5   N.C.                 R-EU_R0805           R4, R9, R40, R41, R42                                                                      
1   N.C.                 REF50XX              IC10                                                                                       
1   PESD12VL1BA,115      PESDXL1BA            TVS1                                                                                       
2   RT424F05             RT424FXX             ISEL10A_1, ISEL10A_2                                                                       
8   SA2M-E3/61T          DIODE_SMA-NARROW     D2, D3, D4, D5, D6, D7, D8, D9                                                             
1   SN005-60             FUSE_RESETTABLE2     F3                                                                                         
1   TPS71725DCKR         TPS71725DCKR         IC12                                                                                       
1   TPS72325DBVR         TPS72325DBVR         IC13                                                                                       
1   ULN2803ADWR          ULN2803ADWR          IC2                                                                                        
3   VOR1142B4            VOR1142B4            OK1, OK2, OK3                                                                              
1   ZH32 (1.25A)         ZH32                 F2                                                                                         
1   ZH32 (1A)            ZH32                 F5                                                                                         
2   ZH32 (10A)           ZH32                 F1, F4                                                                                     
