Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB AFE3 r1B4.brd" as of: 28.9.2021. 08:06
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.452,0.808,270
C2,Top,1.520,0.808,270
C3,Top,2.089,0.788,270
C4,Top,1.520,0.682,270
C5,Top,2.108,0.550,270
C6,Top,2.200,0.550,270
C7,Top,1.507,0.522,270
C8,Top,1.415,0.522,270
C9,Top,1.532,1.469,270
C10,Top,1.599,1.469,270
C11,Top,2.175,1.454,270
C12,Top,1.599,1.343,270
C13,Top,2.208,1.196,270
C14,Top,2.300,1.196,270
C15,Top,1.517,1.223,270
C16,Top,1.425,1.223,270
C17,Top,1.597,1.062,270
C18,Top,3.802,0.627,0
C19,Top,3.914,1.018,180
C20,Top,4.683,2.356,90
C21,Top,3.584,1.344,90
C22,Top,3.643,1.207,0
C23,Top,4.644,0.679,90
C24,Top,4.986,1.654,90
C25,Top,4.638,1.447,270
C26,Top,4.565,1.466,90
C27,Top,4.620,1.666,90
C28,Top,4.814,0.679,90
C29,Top,4.543,0.715,0
C30,Top,4.729,0.659,90
C31,Top,4.503,0.634,0
C32,Top,4.337,0.414,270
C33,Top,4.316,0.276,90
C34,Top,4.598,0.382,90
C35,Top,4.606,0.247,180
C36,Top,4.521,0.509,90
C37,Top,4.448,0.525,270
C38,Top,4.498,1.466,90
C39,Top,4.417,0.715,180
C40,Top,4.536,1.369,0
C41,Top,4.715,1.447,270
C42,Top,4.927,1.260,0
C43,Top,4.941,1.188,180
C44,Top,4.820,1.333,180
C45,Top,4.431,1.399,90
C46,Top,4.351,1.433,90
D1,Top,4.050,0.714,180
D2,Top,3.165,0.626,90
D3,Top,3.046,0.626,270
D4,Top,4.046,1.795,270
D5,Top,3.919,1.795,90
D6,Top,3.919,1.258,270
D7,Top,4.046,1.258,90
D8,Top,4.046,1.527,90
D9,Top,3.919,1.527,270
D10,Top,4.051,0.940,0
FM1,Top,0.091,0.039,0
FM2,Top,5.000,2.579,0
FM3,Top,4.980,0.039,0
IC1,Top,1.813,0.647,0
IC2,Top,1.738,2.357,180
IC3,Top,1.893,1.304,0
IC4,Top,3.868,0.829,90
IC5,Top,3.562,0.486,0
IC6,Top,3.325,1.232,90
IC7,Top,3.689,1.333,90
IC8,Top,4.805,1.617,180
IC9,Top,4.569,1.048,0
IC10,Top,4.458,0.389,0
IC11,Top,4.441,0.245,0
ISEL1A_1,Top,2.791,1.298,180
JP1,Top,2.486,1.619,180
JP2,Top,3.140,1.468,90
JP3,Top,2.320,0.284,180
JP4,Top,2.475,0.236,0
JP7,Top,4.884,1.405,180
JP8,Top,4.927,1.115,180
L1,Top,0.699,0.114,180
L2,Top,1.293,1.090,0
L3,Top,2.276,0.942,180
L4,Top,4.261,0.423,270
L5,Top,4.219,0.242,180
OK1,Top,1.788,0.287,90
OK2,Top,2.643,0.647,90
Q1,Top,3.639,1.531,0
Q2,Top,3.506,1.531,0
R1,Top,0.862,0.114,180
R2,Top,2.084,0.297,90
R3,Top,1.056,0.114,180
R4,Top,2.305,1.621,180
R5,Top,1.252,0.114,180
R6,Top,1.480,0.283,90
R7,Top,1.393,0.170,270
R8,Top,1.122,1.365,90
R9,Top,2.301,1.371,270
R10,Top,1.486,1.087,180
R11,Top,1.122,1.052,90
R12,Top,1.486,1.010,180
R13,Top,2.925,0.641,270
R14,Top,2.534,0.479,180
R15,Top,2.739,0.479,180
R16,Top,3.272,0.630,90
R17,Top,2.450,0.911,180
R18,Top,2.644,0.911,180
R19,Top,2.839,0.911,180
R20,Top,3.034,0.911,180
R21,Top,3.228,0.911,180
R22,Top,3.424,0.911,180
R23,Top,3.904,0.584,90
R24,Top,3.982,0.584,270
R25,Top,3.735,1.062,270
R26,Top,3.812,1.062,90
R27,Top,3.471,1.647,0
R28,Top,3.804,1.773,270
R29,Top,3.368,1.785,180
R30,Top,3.811,1.264,270
R31,Top,3.811,1.419,90
R32,Top,3.368,1.950,0
R33,Top,4.535,1.686,270
R34,Top,4.892,0.642,270
R35,Top,4.846,1.483,0
R36,Top,4.637,0.498,180
R37,Top,4.715,0.343,180
ZD1,Top,1.441,2.463,270
